ASV_ID	P17302_1001	P17302_1002	P17302_1003	P17302_1004	P17302_1005	P17302_1006	P17302_1007	P17302_1008	P17302_1009	P17302_1010	P17302_1011	P17302_1012	P17302_1013	P17302_1014	P17302_1015	P17302_1016	P17302_1017	P17302_1018	P17302_1019	P17302_1020	P17302_1021	P17302_1022	P17302_1023	P17302_1024	P17302_1025	P17302_1026	P17302_1027	P17302_1028	P17302_1029	P17302_1030	P17302_1031	P17302_1032	P17302_1033	P17302_1034	P17302_1035	P17302_1036	P17302_1037	P17302_1038	P17302_1039	P17302_1040	P17302_1041	P17302_1042	P17302_1043	P17302_1044	P17302_1045	P17302_1046	P17302_1047	P17302_1048	P17302_1049	P17302_1050	P17302_1051	P17302_1052	P17302_1053	P17302_1054	P17302_1055	P17302_1056	P17302_1057	P17302_1058	P17302_1059	P17302_1060	P17302_1061	P17302_1062	P17302_1063	P17302_1064	P17302_1065	P17302_1066	P17302_1067	P17302_1068	P17302_1069	P17302_1070	P17302_1071	P17302_1072	P17302_1073	P17302_1074	P17302_1075	P17302_1076	P17302_1077	P17302_1078	P17302_1079	P17302_1080	P17302_1081	P17302_1082	P17302_1083	P17302_1084	P17302_1085	P17302_1086
e0fc303ef2e935cf8369932c4ae0c04f	2333	1413	2872	2426	2162	4448	780	884	89	137	1269	55	18	56	1309	47	24	61	50	3604	902	4002	193	59	40	492	1974	58	272	37	9701	524	1699	17	79	0	71	631	350	350	819	1227	464	8	129	171	65	108	97	39	62	40	0	3425	234	6	58	136	73	967	3622	19475	286	196	332	2335	3101	139	381	3855	24	16435	4430	16876	3586	339	332	4061	78	853	351	4522	1452	102	816	2037
d638e3ef375faff8775879dcd2919456	3906	20502	6596	3914	2827	348	518	1229	224	29	3751	331	77	1653	32	354	8	22	131	251	80	588	101	1278	78	573	1471	244	152	58	388	448	57	52	531	0	193	679	69	572	3738	295	201	14	70	91	42	107	42	22	73	385	3	2487	18	506	208	86	386	380	1493	365	160	5473	458	925	1966	5944	7220	1458	11	3315	1655	1650	4473	4220	182	2519	155	1940	514	1838	909	105	1263	397
9be1e7976b23393a66cc2e9672ecc6c8	364	3	36	3	6	13	221	71	0	5	215	21	0	0	1523	188	0	0	0	37	14	0	41	363	7	198	114	481	11	68	16	0	0	0	11	0	143	570	98	0	0	0	0	0	0	9	216	10	0	0	38	3	15	55	0	287	0	0	0	0	0	0	22	19	0	0	17	6105	86	11	6	0	27	0	153	0	9	0	89552	0	0	0	85	0	29	0
4730fed25c42f2855d9185ab2a5a03dd	450	248	318	366	176	253	256	197	359	65	300	131	180	444	507	96	30	44	46	473	142	411	157	566	88	523	284	86	284	38	3751	160	155	0	429	0	156	792	527	246	4139	366	490	0	58	279	113	179	96	66	56	207	9	1859	141	71	293	58	426	378	1160	4901	203	2285	2961	12541	12497	714	2149	9103	37	7007	1325	5778	3378	970	264	2343	88	429	950	1220	989	174	748	52
5d12a2cd51bf17060f60270529c5722e	1094	494	1253	916	391	3745	220	267	212	77	351	1007	128	244	1915	70	29	73	72	787	1652	467	121	288	44	830	1088	463	942	328	9372	245	1067	134	1266	24	702	1015	187	4821	465	615	269	35	215	373	170	174	143	106	205	34	6	3996	177	158	105	121	42	909	3126	3507	445	370	75	201	785	2105	1394	821	29	2309	3657	724	1408	481	872	3487	228	7654	1334	2990	3797	1767	1127	5588
2fa025903b750491a53d458102721550	1048	2468	3052	2775	1477	138	182	439	876	70	646	185	101	1182	52	306	13	0	0	207	45	92	34	391	260	292	196	287	240	21	368	4811	37	8	23	0	154	1197	32	60	12232	559	250	68	107	181	74	277	26	39	52	487	0	1048	17	52	426	34	967	233	962	80	99	4202	746	3259	4893	595	8167	9237	23	1864	897	1590	3352	10328	57	647	34	0	577	505	182	19	1023	92
96acf2340c6d1dfb87344ddd9bcc9318	394	356	313	405	177	174	108	134	560	41	242	71	535	803	178	130	0	0	0	368	42	162	57	681	129	255	152	70	59	0	1283	212	113	0	0	0	61	342	33	0	7125	310	156	0	34	150	27	201	0	0	0	250	0	1455	47	91	457	55	550	233	800	2052	87	3641	3368	14146	13495	778	3498	10214	42	3635	996	3818	3444	1527	0	2019	46	74	625	1416	589	0	636	0
919a2aa9d306e4cf3fa9ca02a2aa5730	76	213	458	551	101	545	13	23	201	78	101	2422	216	415	1216	82	18	59	500	206	522	66	115	889	20	878	523	840	1301	120	1413	14	193	453	6346	20	564	1119	2945	2811	325	746	752	5	102	146	434	204	814	172	275	19	36	449	51	53	44	0	44	18	56	86	1069	1010	104	149	713	1164	900	563	35	152	113	108	197	205	4222	843	122	893	584	427	28573	441	107	2875
6b22324ce081c63a4735fce68efc1d5b	155	15	18	0	37	0	0	28	24	0	79	0	30	62	372	16	0	17	20	0	529	9	0	0	8	65	25	0	33	0	13	0	0	0	0	0	94	33	0	0	286	10	19	8	142	11	0	8	0	0	0	20	0	993	0	0	87	16	249	116	464	9	31	190	49	210	586	41	378	1160	8	35	405	41	1129	245	0	1402	16	37	254	1357	2399	0	62414	0
dd69e0b17da6f99d9a88124c99695770	1140	918	3224	1385	856	614	78	227	531	203	400	4314	393	819	1702	174	24	53	21	499	593	361	75	217	49	660	275	449	464	356	4191	125	1242	77	636	25	2047	1707	341	4146	368	1973	139	111	378	305	104	137	105	57	251	60	9	2414	37	217	348	55	62	524	2181	1407	522	752	32	94	738	3975	1514	461	9	480	1908	94	170	405	527	4759	326	1191	1833	2809	907	1791	1442	1861
1cd54360e0bd92956f4a3fa2dc65fc9c	168	2	8	4	18	2	90	48	0	232	43	5	63821	270	55	73	7	0	0	60	297	24	18	99	0	767	124	5	45	0	1443	0	441	123	883	0	35	836	15	9	15	6	0	0	107	10	6	6	0	0	4	5	9	583	50	33	63	0	10	0	8	27	44	22	22	24	65	187	299	31	0	3	13	7	14	11	15	1397	28	8	1011	138	68	0	31	0
d75bb336ff439f373cf3e086e19dfba1	1339	5830	1177	653	1611	178	109	336	337	0	752	3	8	175	46	129	0	13	9	9	29	28	29	5	94	19	130	10	116	0	24	868	22	0	10	0	4	5	0	0	4847	21	27	19	30	9	6	120	0	0	7	593	0	948	0	0	24	30	8	154	763	84	51	42	705	5904	12458	18	243	3888	5	691	877	1105	13497	5817	8	2547	18	18	21	1531	335	0	1181	309
c366064866eaed18a54d15640272ab34	75	165	491	447	186	690	89	31	158	112	132	338	50	43	1613	27	19	74	40	930	3872	1804	333	50	41	690	1975	161	1033	111	19957	56	962	102	1208	18	212	946	720	2951	111	955	265	45	249	273	169	138	194	118	200	15	8	1103	356	13	23	38	33	187	673	4054	682	398	33	52	394	167	376	481	13	836	749	194	186	58	517	716	72	3366	449	824	1651	458	133	1520
5c3884792ab6f36ba913e5970bf79c21	490	609	678	814	385	194	144	147	589	88	265	294	78	775	435	92	18	26	7	554	267	236	52	500	163	548	537	192	224	34	2134	524	60	10	87	0	124	1311	825	358	7723	328	538	26	65	345	105	246	140	71	70	303	0	958	59	30	301	26	327	182	899	261	344	2151	1357	2781	3374	336	6663	5730	29	1346	691	1400	4182	3883	493	1049	43	237	556	336	353	178	290	16
55225fc0c942fe8e24052fbea337781d	1199	389	2266	922	1568	3067	102	278	47	66	357	274	73	440	1261	37	27	66	29	274	686	502	77	124	16	473	155	71	175	41	3916	271	430	24	172	0	247	712	83	622	368	330	51	11	86	119	38	59	28	23	62	30	0	3671	69	38	158	99	267	1150	4003	3235	156	402	51	393	1219	519	968	1205	13	2211	4145	523	993	404	159	3450	140	3918	172	5028	951	230	1156	1482
4cc7bf93d916bc7bf10c9bc8cebdceeb	24798	176	1053	366	291	261	14111	5398	6	0	8872	50	9	16	4221	333	0	0	0	45	283	20	162	9	0	179	770	15	35	0	19	0	0	16	31	0	0	21	37	0	0	0	0	0	42	0	9	4	7	0	0	0	0	194	5	0	27	0	0	0	0	0	9	22	0	0	25	13	0	11	0	14	49	0	12	0	0	950	15	0	7	414	99	0	52	0
cc87cf7731ae4eb54c4d6a8169d4598e	86	38	85	112	30	91	63	39	283	224	279	913	61	91	668	0	0	30	30	456	806	690	289	244	39	1883	577	365	445	217	14175	103	108	125	1298	0	761	4248	5156	2703	331	1022	2369	41	150	848	572	334	835	291	211	0	38	404	73	0	22	0	29	0	101	159	1282	871	67	128	234	172	558	269	56	460	163	455	99	296	3049	1073	72	943	1148	33	1657	1637	37	19
bdd806d59896bba05581ed685c6adb1f	18	79	280	182	110	92	0	18	171	232	485	718	52	224	201	52	13	15	10	953	262	75	20	351	94	1518	495	816	137	346	1308	62	260	84	1078	7	906	3211	10120	1757	334	1715	5392	26	335	693	303	351	1045	272	413	18	28	838	33	38	56	5	47	20	82	98	1849	1018	109	70	399	447	1255	245	105	287	191	94	51	140	3767	933	180	43	2514	96	430	5753	225	62
6871d93ddc673c48245efc378cac2c7d	1234	1305	1446	466	721	283	252	265	29	22	593	519	1208	1142	332	235	5	62	21	44	108	222	35	101	10	131	107	38	38	19	520	233	199	45	306	0	218	179	15	118	118	181	30	3	62	30	15	27	7	7	63	52	4	3712	5	89	202	83	133	1073	4937	104	142	944	21	234	1345	2136	675	623	8	2555	4367	616	1717	400	89	4599	273	1645	150	7922	1122	147	1868	781
53964bef6e413d0037100ef13b369504	0	14	35	14	0	13	19	0	135	72	176	818	50	150	105	47	38	22	144	662	26	0	0	332	24	1020	94	422	251	159	90	13	193	313	3936	29	646	1436	871	6609	215	314	1617	10	206	732	568	329	331	308	275	23	13	281	34	25	16	2	22	7	30	9	4421	2307	61	14	566	530	768	82	32	141	121	152	28	29	1598	1460	385	32	5312	105	13112	764	22	21
0848850df0494161713f756cb4fd2f8c	464	675	906	1399	864	159	220	152	488	45	284	161	234	476	0	77	0	25	0	322	31	51	0	665	133	263	96	147	122	25	155	524	0	0	29	0	29	275	25	33	5937	206	141	31	25	81	44	186	0	0	28	207	0	1149	0	74	268	31	191	243	939	213	46	1554	507	2498	3162	571	5038	4579	20	2167	967	2387	6486	3339	39	470	28	0	378	1041	278	0	164	0
28b979d0ac9a5bc2f8e6cf47854058ed	172	3010	1155	634	370	22	107	120	1273	0	358	6	8	19	0	63	4	0	0	0	9	5	3	0	367	74	98	24	245	0	5	2374	47	0	0	0	0	11	0	0	19985	6	6	52	23	21	26	371	9	0	0	2014	0	220	0	0	39	5	0	44	216	16	7	12	146	234	433	21	287	1934	6	40	244	35	258	14136	0	358	10	0	19	564	84	0	641	0
1424204d0b3becbb64ef0b61abb46473	37	0	31	6	0	18	123	32	20	23	101	442	76	23	318	4	0	32	140	718	4126	658	905	74	50	564	3657	402	1900	10	19219	4	1193	25	65	0	142	68	43	126	430	239	26	0	30	82	52	19	6	154	61	8	0	1082	482	13	14	6	40	46	119	2076	21	71	130	143	268	157	324	757	11	1053	190	693	621	149	28	496	62	981	131	376	2961	5	1201	1755
d3a2fb3b65e96a6017a70182466040d8	652	265	723	354	392	143	71	163	221	53	271	510	41	142	456	51	12	20	286	487	261	606	96	200	12	801	383	187	104	146	2084	115	436	146	1789	14	538	2441	1102	2808	94	402	593	22	277	293	157	206	382	103	189	11	13	1540	65	23	37	42	29	279	1017	1121	822	584	26	151	598	388	420	255	16	1597	1203	1993	481	109	1671	1475	138	4662	445	1722	652	2024	657	2059
fa45c880cabbeb9cc516c65edb6a81af	204	183	480	302	138	235	92	63	311	120	230	731	62	196	539	41	19	23	28	416	241	299	123	199	30	1609	658	400	249	134	7002	164	41	153	1778	11	878	3763	2228	4075	451	812	1188	14	286	713	459	236	492	254	199	0	15	783	50	16	36	15	75	39	201	296	971	781	57	141	383	164	803	457	40	670	334	1083	211	387	1774	1767	178	325	1373	255	1013	1759	165	24
641dd3fba38499ee67aca9534db03ecc	88	62	148	118	44	44	28	26	292	286	272	1974	73	202	219	45	60	11	7	693	54	36	7	373	43	1984	123	791	107	358	534	58	52	81	979	16	740	6465	3853	2360	217	758	2491	46	308	781	399	256	506	338	320	14	13	529	42	11	47	0	66	8	52	12	1311	840	39	24	303	255	792	143	51	92	81	50	29	207	1667	129	434	22	5491	302	181	6742	43	0
